date,spot_rate,forward_30,spot_30
1975-01-03,2.4005,2.394,2.389
1975-01-10,2.377,2.373,2.348
1975-01-17,2.378,2.377,2.314
1975-01-24,2.326,2.3235,2.296
1975-01-31,2.3425,2.342,2.285
1975-02-07,2.3655,2.3635,2.316
1975-02-14,2.3215,2.3183,2.321
1975-02-21,2.308,2.305,2.318
1975-02-28,2.283,2.2803,2.3335
1975-03-07,2.3145,2.312,2.361
1975-03-14,2.321,2.3175,2.396
1975-03-21,2.316,2.3125,2.375
1975-03-28,2.3455,2.341,2.388
1975-04-04,2.3635,2.356,2.372
1975-04-11,2.384,2.3782,2.3405
1975-04-18,2.38,2.3765,2.348
1975-04-25,2.376,2.3715,2.338
1975-05-02,2.383,2.3785,2.338
1975-05-09,2.355,2.351,2.3385
1975-05-16,2.351,2.3495,2.3353
1975-05-23,2.337,2.335,2.342
1975-05-30,2.346,2.3425,2.361
1975-06-06,2.341,2.337,2.397
1975-06-13,2.3335,2.3305,2.48
1975-06-20,2.336,2.3332,2.503
1975-06-27,2.348,2.3443,2.553
1975-07-04,2.388,2.3829,2.566
1975-07-11,2.425,2.4179,2.589
1975-07-18,2.5,2.4935,2.556
1975-07-25,2.5345,2.528,2.5785
1975-08-01,2.574,2.5672,2.577
1975-08-08,2.583,2.5728,2.583
1975-08-15,2.575,2.5645,2.6175
1975-08-22,2.5595,2.5517,2.667
1975-08-29,2.582,2.574,2.6385
1975-09-05,2.577,2.5697,2.6075
1975-09-12,2.593,2.5848,2.5825
1975-09-19,2.631,2.6233,2.573
1975-09-26,2.648,2.6404,2.5705
1975-10-03,2.629,2.6195,2.569
1975-10-10,2.5865,2.5789,2.564
1975-10-17,2.567,2.5607,2.6085
1975-10-24,2.5565,2.5505,2.5975
1975-10-31,2.5525,2.5454,2.615
1975-11-07,2.562,2.556,2.627
1975-11-14,2.583,2.5777,2.6375
1975-11-21,2.593,2.587,2.619
1975-11-28,2.6275,2.6213,2.6245
1975-12-05,2.616,2.6099,2.601
1975-12-12,2.63,2.6246,2.6065
1975-12-19,2.6235,2.6191,2.607
1975-12-26,2.609,2.6045,2.5995
1976-01-02,2.621,2.6165,2.575
1976-01-09,2.604,2.599,2.561
1976-01-16,2.601,2.5963,2.565
1976-01-23,2.602,2.5982,2.5555
1976-01-30,2.593,2.5899,2.564
1976-02-06,2.574,2.57,2.561
1976-02-13,2.5415,2.5377,2.5735
1976-02-20,2.5555,2.5515,2.5425
1976-02-27,2.564,2.5598,2.54
1976-03-05,2.5775,2.5728,2.5425
1976-03-12,2.58,2.5748,2.5358
1976-03-19,2.54,2.535,2.538
1976-03-26,2.5415,2.5363,2.5395
1976-04-02,2.528,2.5237,2.531
1976-04-09,2.534,2.5298,2.5465
1976-04-16,2.537,2.5326,2.582
1976-04-23,2.539,2.5335,2.5758
1976-04-30,2.5365,2.5315,2.593
1976-05-07,2.534,2.5293,2.561
1976-05-14,2.555,2.549,2.57
1976-05-21,2.585,2.5792,2.573
1976-05-28,2.5895,2.5846,2.5755
1976-06-04,2.5855,2.5805,2.579
1976-06-11,2.576,2.5715,2.582
1976-06-18,2.574,2.5698,2.5773
1976-06-25,2.5715,2.5683,2.576
1976-07-02,2.577,2.5721,2.5342
1976-07-09,2.578,2.5735,2.542
1976-07-16,2.577,2.5732,2.51
1976-07-23,2.5765,2.5733,2.517
1976-07-30,2.5405,2.5365,2.525
1976-08-06,2.5415,2.5379,2.521
1976-08-13,2.5275,2.5238,2.4907
1976-08-20,2.514,2.5102,2.471
1976-08-27,2.52,2.5179,2.4693
1976-09-03,2.5225,2.5201,2.437
1976-09-10,2.5105,2.5081,2.443
1976-09-17,2.478,2.4754,2.4405
1976-09-24,2.478,2.4756,2.409
1976-10-01,2.4345,2.4321,2.402
1976-10-08,2.4395,2.4365,2.421
1976-10-15,2.4385,2.4355,2.4205
1976-10-22,2.426,2.4225,2.42
1976-10-29,2.4035,2.4007,2.4145
1976-11-05,2.4205,2.417,2.3955
1976-11-12,2.415,2.4124,2.3965
1976-11-19,2.419,2.417,2.3685
1976-11-26,2.407,2.4056,2.362
1976-12-03,2.4065,2.4063,2.3485
1976-12-10,2.395,2.3948,2.376
1976-12-17,2.3889,2.3884,2.407
1976-12-24,2.3695,2.3699,2.435
1976-12-31,2.357,2.3565,2.4225
1977-01-07,2.357,2.356,2.4095
1977-01-14,2.3925,2.3903,2.401
1977-01-21,2.4005,2.3993,2.397
1977-01-28,2.42,2.419,2.396
1977-02-04,2.417,2.4158,2.3875
1977-02-11,2.4045,2.4033,2.3955
1977-02-18,2.3955,2.3943,2.3877
1977-02-25,2.395,2.3936,2.392
1977-03-04,2.3865,2.3854,2.3877
1977-03-11,2.3945,2.3932,2.3735
1977-03-18,2.3905,2.3893,2.3715
1977-03-25,2.3916,2.3898,2.3695
1977-04-01,2.3895,2.3882,2.3579
1977-04-08,2.3855,2.3832,2.3705
1977-04-15,2.3686,2.367,2.3602
1977-04-22,2.3725,2.3715,2.3628
1977-04-29,2.359,2.357,2.3605
1977-05-06,2.349,2.3457,2.3595
1977-05-13,2.3593,2.3557,2.3566
1977-05-20,2.3592,2.3546,2.358
1977-05-27,2.3552,2.3507,2.3452
1977-06-03,2.353,2.3494,2.3134
1977-06-10,2.3574,2.354,2.2876
1977-06-17,2.3544,2.351,2.2666
1977-06-24,2.355,2.3512,2.2464
1977-07-01,2.3392,2.3353,2.2896
1977-07-08,2.3068,2.3031,2.319
1977-07-15,2.287,2.2836,2.3259
1977-07-22,2.2624,2.258,2.3115
1977-07-29,2.282,2.2773,2.3185
1977-08-05,2.296,2.2908,2.3187
1977-08-12,2.3305,2.3248,2.332
1977-08-19,2.3255,2.3203,2.3208
1977-08-26,2.3155,2.3103,2.3295
1977-09-02,2.3175,2.3126,2.3058
1977-09-09,2.326,2.3211,2.299
1977-09-16,2.325,2.3198,2.2655
1977-09-23,2.3281,2.3227,2.2615
1977-09-30,2.3122,2.3058,2.2435
1977-10-07,2.2926,2.2857,2.253
1977-10-14,2.278,2.2707,2.246
1977-10-21,2.27,2.2635,2.2385
1977-10-28,2.264,2.2583,2.222
1977-11-04,2.2575,2.2506,2.163
1977-11-11,2.257,2.2513,2.131
1977-11-18,2.2443,2.2383,2.112
1977-11-25,2.2167,2.2111,2.1495
1977-12-02,2.204,2.1979,2.057
1977-12-09,2.1935,2.1876,2.114
1977-12-16,2.14,2.1327,2.138
1977-12-23,2.15,2.141,2.1095
1977-12-30,2.105,2.0955,2.117
1978-01-06,2.141,2.1323,2.1045
1978-01-13,2.125,2.1157,2.083
1978-01-20,2.131,2.1228,2.042
1978-01-27,2.11,2.1032,2.019
1978-02-03,2.104,2.097,2.035
1978-02-10,2.108,2.1018,2.088
1978-02-17,2.056,2.0492,2.047
1978-02-24,2.018,2.0105,2.0245
1978-03-03,2.01,2.0022,2.024
1978-03-10,2.049,2.0422,2.014
1978-03-17,2.03,2.023,2.048
1978-03-24,2.038,2.0311,2.0757
1978-03-31,2.022,2.0145,2.0735
1978-04-07,2.018,2.0114,2.087
1978-04-14,2.0308,2.0246,2.1135
1978-04-21,2.075,2.0672,2.1246
1978-04-28,2.0665,2.0587,2.102
1978-05-05,2.071,2.0626,2.088
1978-05-12,2.1055,2.097,2.0937
1978-05-19,2.1072,2.0983,2.0738
1978-05-26,2.1226,2.1141,2.072
1978-06-02,2.083,2.0752,2.0685
1978-06-09,2.0897,2.0818,2.0489
1978-06-16,2.0975,2.089,2.065
1978-06-23,2.0815,2.073,2.0445
1978-06-30,2.075,2.0658,2.0431
1978-07-07,2.064,2.0548,1.9725
1978-07-14,2.054,2.0444,1.946
1978-07-21,2.056,2.0467,2.021
1978-07-28,2.05,2.0407,1.9825
1978-08-04,2.031,2.0218,1.9865
1978-08-11,1.9665,1.9575,1.9971
1978-08-18,1.967,1.957,1.9585
1978-08-25,2.013,2.0036,1.936
1978-09-01,1.9845,1.9757,1.896
1978-09-08,1.994,1.9852,1.9006
1978-09-15,1.981,1.972,1.839
1978-09-22,1.954,1.9449,1.816
1978-09-29,1.9355,1.9254,1.7745
1978-10-06,1.902,1.8916,1.875
1978-10-13,1.87,1.8593,1.8935
1978-10-20,1.823,1.8122,1.928
1978-10-27,1.7625,1.7529,1.9277
1978-11-03,1.887,1.8755,1.9175
1978-11-10,1.8935,1.8805,1.8925
1978-11-17,1.9075,1.895,1.841
1978-11-24,1.92,1.9086,1.856
1978-12-01,1.9348,1.9218,1.835
1978-12-08,1.913,1.901,1.8545
1978-12-15,1.905,1.8926,1.837
1978-12-22,1.854,1.8402,1.854
1978-12-29,1.823,1.8079,1.875
1979-01-05,1.8565,1.8422,1.8485
1979-01-12,1.8585,1.8452,1.8515
1979-01-19,1.837,1.8251,1.857
1979-01-26,1.855,1.8446,1.849
1979-02-02,1.883,1.8732,1.8585
1979-02-09,1.849,1.839,1.854
1979-02-16,1.853,1.8429,1.8645
1979-02-23,1.851,1.841,1.8634
1979-03-02,1.8575,1.8465,1.8832
1979-03-09,1.851,1.8397,1.898
1979-03-16,1.8635,1.852,1.896
1979-03-23,1.8629,1.8519,1.893
1979-03-30,1.8667,1.8579,1.898
1979-04-06,1.8878,1.8795,1.8942
1979-04-13,1.9008,1.8911,1.904
1979-04-20,1.8991,1.8897,1.9175
1979-04-27,1.8927,1.8832,1.9217
1979-05-04,1.8981,1.8881,1.9185
1979-05-11,1.8986,1.8891,1.9107
1979-05-18,1.9175,1.9083,1.8595
1979-05-25,1.914,1.9055,1.8498000000000001
1979-06-01,1.915,1.9063,1.838
1979-06-08,1.912,1.9045,1.8389
1979-06-15,1.8973,1.8895,1.8131
1979-06-22,1.849,1.8408,1.8058
1979-06-29,1.848,1.8399,1.8287
1979-07-06,1.829,1.8205,1.8323
1979-07-13,1.8315,1.823,1.8296
1979-07-20,1.8105,1.8019,1.8312
1979-07-27,1.8222,1.8132,1.8325
1979-08-03,1.8321,1.8235,1.8209
1979-08-10,1.8184,1.8104,1.812
1979-08-17,1.8298,1.8214,1.8068
1979-08-24,1.8284,1.8199,1.769
1979-08-31,1.8275,1.8203,1.749
1979-09-07,1.8118,1.8043,1.807
1979-09-14,1.8125,1.8044,1.7987
1979-09-21,1.773,1.7647,1.8067
1979-09-28,1.741,1.7319,1.8055
1979-10-05,1.7595,1.7495,1.792
1979-10-12,1.7938,1.7822,1.7835
1979-10-19,1.7965,1.7855,1.7707
1979-10-26,1.8035,1.7913,1.7462
1979-11-02,1.7978,1.7861,1.745
1979-11-09,1.7948,1.7848,1.7288
1979-11-16,1.784,1.774,1.7285
1979-11-23,1.7623,1.7545,1.731
1979-11-30,1.7316,1.7236,1.716
1979-12-07,1.756,1.748,1.7145
1979-12-14,1.7393,1.7295,1.731
1979-12-21,1.741,1.7342,1.7295
1979-12-28,1.722,1.7127,1.7393
1980-01-04,1.713,1.7015,1.7405
1980-01-11,1.7187,1.7085,1.738
1980-01-18,1.724,1.714,1.7462
1980-01-25,1.7305,1.72,1.7655
1980-02-01,1.745,1.7372,1.7815
1980-02-08,1.7405,1.7324,1.8085
1980-02-15,1.739,1.7305,1.883
1980-02-22,1.7565,1.7455,1.891
1980-02-29,1.773,1.7604,1.959
1980-03-07,1.797,1.7813,1.883
1980-03-14,1.838,1.8194,1.894
1980-03-21,1.8764,1.8589,1.834
1980-03-28,1.9315,1.9143,1.804
1980-04-04,1.962,1.9445,1.7925
1980-04-11,1.881,1.8633,1.7847
1980-04-18,1.8485,1.8335,1.8038
1980-04-25,1.81,1.7985,1.7688
1980-05-02,1.811,1.8025,1.782
1980-05-09,1.8043,1.8003,1.764
1980-05-16,1.7882,1.7859,1.7648
1980-05-23,1.783,1.7837,1.7678
1980-05-30,1.7865,1.7843,1.764
1980-06-06,1.773,1.7727,1.7355
1980-06-13,1.7517,1.7522,1.7484
1980-06-20,1.7688,1.7688,1.7373
1980-06-27,1.764,1.7637,1.764
1980-07-04,1.758,1.7578,1.77
