firm_id,total_cost,output,price_labor,price_capital,price_fuel,labor_share,capital_share,fuel_share
1,0.213,8,6869.47,64.945,18,0.3291,0.4197,0.25120000000000003
20,0.4887,14,5438.89,86.11,34.15,0.2994,0.4571,0.24349999999999994
17,0.6159,50,9204.24,90.47,32.07,0.2963,0.0981,0.6056
14,0.7606,65,8971.89,41.243,28.539,0.2802,0.1282,0.5916
28,0.6363,67,6696.5,58.258,25.4,0.2447,0.3674,0.3879
22,1.1474,90,7189.67,79.101,21.503,0.2855,0.2073,0.5072
16,1.3422,183,5063.49,74.43,35.51,0.096,0.2629,0.6411
15,2.2587,295,8218.4,71.94,39.2,0.1772,0.1623,0.6605
27,2.0532,374,7884.94,82.458,26.3014,0.2054,0.1208,0.6738
30,3.1504,378,7895.43,60.277,42.4683,0.098,0.1996,0.7024
35,4.505,467,8410.34,76.3,26.85,0.2474,0.1917,0.5609
38,3.7255,643,7332.13,64.506,21.1619,0.2666,0.2428,0.4906
45,6.6214,856,8033.72,67.68,39.5812,0.1463,0.2083,0.6454
4,3.0427,869,8372.96,68.227,21.067,0.103,0.2913,0.6057
36,5.5971,938,7703.26,77.197,25.4,0.1577,0.2342,0.6081000000000001
32,5.8488,1025,7093.32,68.227,22.2793,0.2164,0.2455,0.5380999999999999
48,8.6372,1090,8507.92,39.127,33.9,0.2399,0.1769,0.5831999999999999
59,7.4395,1293,6821.09,78.225,21.4305,0.2031,0.3297,0.4672
41,6.0065,1328,6680.77,51.817,25.2319,0.1082,0.2611,0.6307
5,9.4059,1412,7960.9,40.692,41.53,0.0891,0.1567,0.7542
55,6.6221,1500,7588.7,82.84,21.3951,0.1221,0.3186,0.5593
47,8.6852,1627,7912.4,79.22,31.6801,0.1105,0.2071,0.6823999999999999
61,9.7843,1627,8355.75,76.14,31.3374,0.1494,0.236,0.6146
31,10.3136,1886,6833.93,67.68,25.6,0.0826,0.407,0.5104
168,14.271,1901,9822.64,69.411,36,0.2144,0.1596,0.626
67,14.0431,2001,8611.53,74.025,30.6446,0.0714,0.1618,0.7668
77,18.8963,2020,10806.2,79.57,46.9,0.1797,0.1594,0.6609
50,11.2419,2258,6892.61,81.096,29.1,0.0997,0.2309,0.6694
178,14.9529,2325,8568.23,53.89,38.9161,0.1466,0.1269,0.7264999999999999
58,13.627,2437,7846.06,65.565,30.6712,0.121,0.2578,0.6212
78,13.2679,2445,8764.75,76.14,28.3648,0.1317,0.2411,0.6272
69,16.1764,2487,8088.45,66.622,32.6186,0.1371,0.1973,0.6656
57,10.966,2506,7412.36,57.24,27.4207,0.1164,0.2152,0.6683999999999999
44,12.783,2632,8496.84,70.295,30.971,0.08,0.2604,0.6596000000000001
65,19.7092,2682,9484.85,81.75,50.4516,0.1087,0.1958,0.6955
46,9.6429,2689,6364.4,78.44,23.4889,0.0829,0.2105,0.7066
68,10.1902,2764,6338,66.232,21.197,0.1659,0.2312,0.6029
25,7.5492,2969,8183.34,80.657,9,0.2397,0.3972,0.3631
75,22.5612,3571,7297.71,78.255,41.5951,0.1142,0.1833,0.7025
167,21.5587,3886,9538.68,63.569,30.8894,0.1252,0.2033,0.6715
62,20.8671,3965,8403.59,74.48,33.1992,0.1162,0.2151,0.6687
80,21.5454,3981,8186.05,75.082,35.2049,0.1052,0.2299,0.6649
89,17.4802,4148,7536.89,74.025,24.5837,0.1176,0.2035,0.6789
82,29.8011,4187,7996.44,74.12,47.4257,0.1052,0.1824,0.7124
181,19.4391,4560,8558.37,76.464,23.7777,0.15310000000000001,0.2577,0.5892
96,30.2067,5286,7084.1,73.325,38.3384,0.0884,0.1969,0.7147
103,24.2903,5316,9759.83,74.025,27.838,0.1894,0.174,0.6366
85,30.8773,5643,10182.5,61.04,27.8498,0.1722,0.2204,0.6073999999999999
95,22.4421,5648,8954.12,78.44,25.916,0.0834,0.2111,0.7054999999999999
179,33.9733,5708,10024.2,78.102,42.166,0.0986,0.1826,0.7188
91,19.9008,5785,7969.55,71.91,22.2448,0.1093,0.218,0.6727000000000001
111,37.0666,6754,10177.9,77.197,25.6208,0.207,0.2363,0.5567000000000001
81,35.5303,6770,7798.26,67.57,29.825,0.1108,0.2814,0.6078
112,25.1686,6779,7826.93,74.2,20.279,0.1427,0.2662,0.5911
87,24.3565,6793,6336.88,70.295,18.5909,0.1266,0.3253,0.5481
76,33.0175,6837,7310.15,69.795,28.4405,0.1187,0.2515,0.6297999999999999
110,40.5281,6891,6769.55,74.12,35.9651,0.0895,0.2393,0.6711999999999999
71,42.2514,7320,5879.51,92.063,39.2104,0.0864,0.2064,0.7071999999999999
177,33.8814,7382,7512.72,72.362,25.9001,0.1393,0.2486,0.6121000000000001
104,31.2922,7484,8063.73,67.68,23.5267,0.1713,0.2535,0.5751999999999999
94,27.0832,7896,7119.96,74.513,20.11,0.1196,0.2484,0.632
100,32.584,7930,7119.01,48.997,22.838,0.1209,0.2772,0.6019
120,52.7634,9145,10373.5,81.75,35.8083,0.2027,0.1997,0.5976
115,41.1798,9275,8657.53,76.14,24.5804,0.1047,0.3284,0.5669
102,47.3864,9530,7624.57,83.88,31.5825,0.1266,0.2106,0.6628000000000001
97,30.1678,9602,7054.18,59.977,20.201,0.0928,0.2164,0.6908
92,28.7861,9660,6686.73,79.542,20.263,0.0697,0.2391,0.6912
132,57.7267,10004,6472.86,76.3,28.0959,0.1806,0.2362,0.5832
123,38.8472,10057,6035.95,81.578,25.824,0.0844,0.2178,0.6978
105,31.9884,10149,6437.92,73.14,18.534300000000002,0.1169,0.2367,0.6464
166,51.7415,10361,9578.63,68.016,28.1423,0.1913,0.2407,0.568
