date,spot_rate,forward_30,spot_30
1975-01-03,0.427,0.4299,0.4216
1975-01-10,0.4247,0.427,0.4199
1975-01-17,0.4248,0.4259,0.4175
1975-01-24,0.4194,0.4207,0.4138
1975-01-31,0.4205,0.4223,0.4122
1975-02-07,0.4217,0.4237,0.4122
1975-02-14,0.4181,0.4203,0.4137
1975-02-21,0.4165,0.4185,0.4132
1975-02-28,0.412,0.4142,0.4151
1975-03-07,0.412,0.4139,0.4199
1975-03-14,0.4143,0.4161,0.4233
1975-03-21,0.4131,0.4146,0.4241
1975-03-28,0.415,0.4165,0.4248
1975-04-04,0.4174,0.4188,0.4257
1975-04-11,0.4229,0.4246,0.4341
1975-04-18,0.4207,0.4221,0.4336
1975-04-25,0.4248,0.4269,0.4298
1975-05-02,0.4274,0.4297,0.4311
1975-05-09,0.429,0.43120000000000003,0.4344
1975-05-16,0.4336,0.4357,0.4401
1975-05-23,0.4301,0.4317,0.4457
1975-05-30,0.4326,0.4342,0.4581
1975-06-06,0.4299,0.4313,0.4557
1975-06-13,0.438,0.4396,0.456
1975-06-20,0.4401,0.4415,0.4583
1975-06-27,0.4475,0.4487,0.4597
1975-07-04,0.4546,0.4556,0.4682
1975-07-11,0.4527,0.4535,0.4755
1975-07-18,0.4599,0.4609,0.471
1975-07-25,0.4589,0.4602,0.4746
1975-08-01,0.4655,0.4672,0.4733
1975-08-08,0.476,0.4776,0.4739
1975-08-15,0.474,0.4754,0.4796
1975-08-22,0.4739,0.4754,0.4884
1975-08-29,0.4735,0.4748,0.4903
1975-09-05,0.4739,0.4753,0.4902
1975-09-12,0.4743,0.4756,0.4871
1975-09-19,0.4805,0.4819,0.4856
1975-09-26,0.4888,0.4901,0.484
1975-10-03,0.4906,0.4919,0.4844
1975-10-10,0.4872,0.4892,0.4844
1975-10-17,0.4865,0.4886,0.4909
1975-10-24,0.4829,0.4851,0.4904
1975-10-31,0.481,0.4829,0.4949
1975-11-07,0.4832,0.4851,0.4944
1975-11-14,0.4885,0.4907,0.4959
1975-11-21,0.4889,0.4915,0.4948
1975-11-28,0.4957,0.4978,0.4948
1975-12-05,0.4933,0.4953,0.4918
1975-12-12,0.4955,0.4975,0.4942
1975-12-19,0.4946,0.4968,0.4938
1975-12-26,0.4942,0.496,0.493
1976-01-02,0.4943,0.4964,0.4926
1976-01-09,0.4924,0.4942,0.4938
1976-01-16,0.4932,0.4951,0.4936
1976-01-23,0.4942,0.4963,0.4938
1976-01-30,0.4925,0.4946,0.4932
1976-02-06,0.493,0.4946,0.5147
1976-02-13,0.49370000000000003,0.4955,0.5207
1976-02-20,0.4939,0.4954,0.5206
