date,spot_rate,forward_30,spot_30
1975-01-03,300.6,301.3,297.3
1975-01-10,300.6,300.6,295.45
1975-01-17,300.7,300.45,293.2
1975-01-24,296.5,295.75,285.65
1975-01-31,297.8,297.55,286.6
1975-02-07,296.12,295.94,286.45
1975-02-14,293.05,292.7,287.85
1975-02-21,290.65,292.4,288.33
1975-02-28,286.3,285.65,291.4
1975-03-07,285.5,285.35,291.5
1975-03-14,288.45,288,291.45
1975-03-21,288.03,288.56,292.95
1975-03-28,292.7,293.05,294.6
1975-04-04,292.5,293.6,291.2
1975-04-11,291.5,292.45,291.5
1975-04-18,291.6,291.1,292.25
1975-04-25,293.05,293.75,291.4
1975-05-02,291.9,291.4,291.4
1975-05-09,291.45,290.8,292
1975-05-16,291.3,290.95,294
1975-05-23,291.2,291.1,295.9
1975-05-30,291.3,291.55,295.9
1975-06-06,291.7,292.2,295.75
1975-06-13,292.6,293.15,295.85
1975-06-20,293.9,294.1,296.35
1975-06-27,296.2,296.25,297.35
1975-07-04,295.4,295.4,298
1975-07-11,296,295.7,298
1975-07-18,296.2,295.9,298
1975-07-25,296.7,296.45,298
1975-08-01,297.85,297.65,297.87
1975-08-08,297.7,297.85,298
1975-08-15,297.9,298.05,298
1975-08-22,297.8,298.05,303
1975-08-29,297.95,298.9,302.7
1975-09-05,297.9,298.65,303
1975-09-12,297.95,298.6,302.6
1975-09-19,300.95,301.95,301.15
1975-09-26,301.9,303.5,301.7
1975-10-03,302.95,304.5,301.95
1975-10-10,302.8,303.55,302.2
1975-10-17,302.85,303.4,303
1975-10-24,301.65,301.8,303
1975-10-31,301.8,302,305
1975-11-07,301.85,301.9,306.3
1975-11-14,302.5,302.35,305.6
1975-11-21,302.95,302.95,305.9
1975-11-28,302.95,303.7,305.05
1975-12-05,306.1,306.9,305.7
1975-12-12,305.9,306.8,305.45
1975-12-19,305.95,306.7,304.1
1975-12-26,305.8,306.45,303.6
1976-01-02,305.1,305.6,301.4
1976-01-09,305.95,306.25,300.9
1976-01-16,305.15,305.3,301.8
1976-01-23,304.05,304.05,302.2
1976-01-30,303.75,303.75,301.6
1976-02-06,301.45,301.15,301.2
1976-02-13,301,300.9,300.7
1976-02-20,302.15,302.2,299.9
1976-02-27,302.2,302.25,299.75
1976-03-05,301.6,301.6,298.85
1976-03-12,301.1,301.25,298.15
1976-03-19,299.75,300,299.55
1976-03-26,299.6,300.15,299.3
1976-04-02,299.4,299.7,298.6
1976-04-09,298,297.9,298.4
1976-04-16,299.2,298.95,299.3
1976-04-23,299.8,299.45,299.6
1976-04-30,299.25,299.15,300.05
1976-05-07,298.65,298.7,300.05
1976-05-14,298.6,298.8,299.9
1976-05-21,299.3,299.45,298.85
1976-05-28,299.7,300,298.4
1976-06-04,300.3,300.5,296.05
1976-06-11,299.95,300.2,295.2
1976-06-18,299.1,299.18,293.35
1976-06-25,297,297,294.15
1976-07-02,297.1,297.2,292.9
1976-07-09,296.62,296.8,292.75
1976-07-16,294.55,294.7,288.05
1976-07-23,293.95,294,288.6
1976-07-30,293.45,293.6,289
1976-08-06,292.95,292.95,287.85
1976-08-13,292.3,292.35,286
1976-08-20,289.6,289.4,287.7
1976-08-27,288.5,288.35,287.75
1976-09-03,288.45,288.7,287.8
1976-09-10,286.75,286.85,289
1976-09-17,286.8,286.75,292.25
1976-09-24,288,287.95,293.75
1976-10-01,287.2,287.4,295.3
1976-10-08,288.35,288.5,294.35
1976-10-15,292.8,293.15,295.3
1976-10-22,293.2,293.3,295.25
1976-10-29,294.2,294.2,296.8
1976-11-05,295,294.9,296.75
1976-11-12,294.6,294.55,295.05
1976-11-19,295.35,295.4,294.1
1976-11-26,295.45,295.5,293.2
1976-12-03,297.5,297.75,292.15
1976-12-10,295,295.8,292.55
1976-12-17,294.7,295.25,289.45
1976-12-24,293.4,294.05,288.4
1976-12-31,292.95,293.4,288.3
1977-01-07,292.45,292.8,285.7
1977-01-14,292.1,292.25,284
1977-01-21,290.2,290.28,283.7
1977-01-28,289.35,289.48,281.8
1977-02-04,288.1,288.23,281.8
1977-02-11,284.9,285.1,282.2
1977-02-18,283.2,283.4,278.8
1977-02-25,281.5,281.57,276.95
1977-03-04,281.6,281.8,273.1
1977-03-11,282,282.5,271.7
1977-03-18,280.65,281.05,277.5
1977-03-25,278.65,279.05,277.95
1977-04-01,276.15,276.34,278
1977-04-08,272.95,273.25,277.3
1977-04-15,274.2,274.4,277.6
1977-04-22,277.38,277.48,277.9
1977-04-29,277.25,277.2,277.35
1977-05-06,276.4,276.3,274.8
1977-05-13,277.35,277.2,273.3
1977-05-20,277.3,277.31,273
1977-05-27,277.1,277.2,268.3
1977-06-03,276.2,276.1,264.65
1977-06-10,273.65,273.78,263.95
1977-06-17,272.5,272.5,263.8
1977-06-24,271.1,271.1,264.45
1977-07-01,267.05,266.95,265.5
1977-07-08,264.7,264.57,266.2
1977-07-15,265.55,265.4,266.3
1977-07-22,264.4,264.3,266.6
1977-07-29,266.2,266.07,267.4
1977-08-05,265.7,265.55,267.2
1977-08-12,266.2,266.05,267.35
1977-08-19,266.8,266.65,266.9
1977-08-26,267.1,266.95,266.8
1977-09-02,267.85,267.85,261
1977-09-09,266.6,266.2,257.4
1977-09-16,266.9,266.6,252.4
1977-09-23,266.85,266.45,252
1977-09-30,263,262.25,247.7
1977-10-07,258,257.05,246.65
1977-10-14,252.9,251.8,245.25
1977-10-21,254.5,253.7,240.7
1977-10-28,250.2,249.4,242.4
1977-11-04,248.75,247.75,241.85
1977-11-11,247.1,246.35,236.8
1977-11-18,244.3,242.6,240.3
1977-11-25,239.6,238.3,241.5
1977-12-02,241.95,241,236.65
1977-12-09,242.65,242.1,240.5
1977-12-16,240.85,240,242.5
1977-12-23,241.2,240.05,240.7
1977-12-30,239.6,238.25,241.6
